DISTRICT,ANNUAL
ANANTAPUR,572.7
CHITTOOR,898.2
KUDDAPAH,716.9
KURNOOL,679.6
VELLORE,936.2
COIMBATORE,689.3
DHARMAPURI,902.1
KANYAKUMARI,1302.5
CHENNAI,1324.2
MADURAI,927.9
NILGIRI,1522.7
RAMANATHAPURA,807.8
SALEM,997.9
THANJAVUR,1013.1
TIRUCHIRAPPALLI,818
TIRUNELVELI,845.1
ERODE,702.9
PUDUKKOTTAI,887.4
DINDIGUL,930.7
VIRUDHUNAGAR,820.1
SIVAGANGA,872.8
THOOTHUKUDI,656.3
TIRUVANNAMALA,1040
NAGAPATTINAM,1393.3
VILUPPURAM,1011.6
CUDDALORE,1206.7
KANCHIPURAM,1227.7
TIRUVALLUR,1139.6
THENI,720
NAMAKKAL,793.4
KARUR,655
PERAMBALUR,861.9
TIRUVARUR,1173.3
KRISHNAGIRI,850.7
ARIYALUR,1071.8
TIRUPUR,618.2
PONDICHERRY,1336.5
KARAIKAL,1504.4
MAHE,1336.5
YANAM,1336.5
UTTAR KANNADA,3070.5
DAKSHIN KANDA,3915.8
UDUPI,4306
BELGAM,839.2
BIDAR,890.7
BIJAPUR,656.4
DHARWAD,791.7
GULBARGA,820.6
YADGIR,834.5
RAICHUR,665.1
BAGALKOTE,597
GADAG,641.2
HAVERI,791.9
KOPPAL,598.3
BANGALORE RUR,837
BELLARY,622.8
CHIKMAGALUR,2077.5
CHITRADURGA,527.7
KODAGU,2741.4
HASSAN,967.1
KOLAR,731.1
MANDYA,662.7
MYSORE,758.6
SHIMOGA,1827.9
TUMKUR,698.5
BANGALORE URB,870
CHAMARAJANAGA,788.4
DAVANGERE,676.7
RAMNAGAR(BNGR),883.7
CHICKBALLAPUR,748.5
ALAPPUZHA,2841.2
CANNUR,3319.1
ERNAKULAM,3029.9
KOTTAYAM,2930.5
KOZHIKODE,3384.1
MALAPPURAM,2835.1
PALAKKAD,2290
KOLLAM,2491.7
THRISSUR,3063.1
THIRUVANANTHA,1803.2
IDUKKI,3302.5
KASARGOD,3621.6
PATHANAMTHITTA,2958.4
WAYANAD,3253.1
LAKSHADWEEP,1600
